tablescraper-selected-row href,icon src,name,brief,count
https://lazycat.cloud/appstore/detail/com.camera.depth-of-field,https://dl.lazycat.cloud/appstore/metarepo/apps/com.camera.depth-of-field/icon.png,景深模拟器,一个帮助摄影师计算相机镜头景深的Web应用，可以调整光圈、焦距和对焦距离来查看景深变化,1
https://lazycat.cloud/appstore/detail/com.revenz.fileflows,https://dl.lazycat.cloud/appstore/metarepo/apps/com.revenz.fileflows/icon.png,FileFlows,FileFlows是一个文件处理和自动化工具，可以监控文件夹并自动处理文件,1
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.spoolman,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.spoolman/icon.png,spoolman,Spoolman 是一个自托管的网页服务，帮助你高效地管理3D打印耗材卷，并实时监控它们的使用情况。,1
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.sally,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.sally/icon.png,sally,支持自定义 Golang 导入路径的轻量级 HTTP 服务器,1
https://lazycat.cloud/appstore/detail/com.luck.lazycat.luanti,https://dl.lazycat.cloud/appstore/metarepo/apps/com.luck.lazycat.luanti/icon.png,Luanti,"Luanti,Minetest",1
https://lazycat.cloud/appstore/detail/anpho.lzcapp.orthanc,https://dl.lazycat.cloud/appstore/metarepo/apps/anpho.lzcapp.orthanc/icon.png,Orthanc DICOM Viewers,简单而强大的独立 DICOM 服务器,1
https://lazycat.cloud/appstore/detail/com.luck.lazycat.flexget,https://dl.lazycat.cloud/appstore/metarepo/apps/com.luck.lazycat.flexget/icon.png,flexget,FlexGet 是一款适用于所有媒体的多功能自动化工具,1
https://lazycat.cloud/appstore/detail/wcloud.gblw.app.wallet,https://dl.lazycat.cloud/appstore/metarepo/apps/wcloud.gblw.app.wallet/icon.png,wallet,wallet是一款记账工具，支持你记录每日开销，并将开销以图标的形式展现出来。,1
https://lazycat.cloud/appstore/detail/com.luck.lazycat.series-troxide,https://dl.lazycat.cloud/appstore/metarepo/apps/com.luck.lazycat.series-troxide/icon.png,series-troxide,Series Troxide，一个用 Rust 编写的简单而现代的剧集追踪器,1
https://lazycat.cloud/appstore/detail/com.luck.lazycat.ombi,https://dl.lazycat.cloud/appstore/metarepo/apps/com.luck.lazycat.ombi/icon.png,ombi,Ombi 允许您托管自己的 Plex 和用户管理系统,1
https://lazycat.cloud/appstore/detail/com.luck.lazycat.sickchill,https://dl.lazycat.cloud/appstore/metarepo/apps/com.luck.lazycat.sickchill/icon.png,sickchill,Sickchill 是电视节目的自动视频库管理器。它会监视您最喜爱的节目的新剧集，当它们发布时，它会发挥它的魔力。,1
https://lazycat.cloud/appstore/detail/com.luck.lazycat.kimai,https://dl.lazycat.cloud/appstore/metarepo/apps/com.luck.lazycat.kimai/icon.png,kimai,Kimai 是一个专业级的时间跟踪应用程序，免费且开源。,1
https://lazycat.cloud/appstore/detail/com.luck.lazycat.xwiki,https://dl.lazycat.cloud/appstore/metarepo/apps/com.luck.lazycat.xwiki/icon.png,xwiki,高级开源企业 Wiki,1
https://lazycat.cloud/appstore/detail/chestnut.app.djangowiki,https://dl.lazycat.cloud/appstore/metarepo/apps/chestnut.app.djangowiki/icon.png,djangowiki 个人维基,一个具有复杂功能的 wiki 系统，可实现简单的集成和出色的界面。以风格存储您的知识：使用 Django 模型。,1
https://lazycat.cloud/appstore/detail/chestnut.app.pidgin,https://dl.lazycat.cloud/appstore/metarepo/apps/chestnut.app.pidgin/icon.png,pidgin 聚合聊天,Pidgin 是一个聊天程序，可让您同时登录多个聊天网络上的帐户。这意味着您可以在 XMPP 上与朋友聊天，同时坐在 IRC 频道中。,1
https://lazycat.cloud/appstore/detail/chestnut.app.pylon,https://dl.lazycat.cloud/appstore/metarepo/apps/chestnut.app.pylon/icon.png,Pylon 集成式开发环境,Pylon 是一个基于 Web 的集成开发环境，以 Node.js 作为后端构建，并具有增强的 JavaScript/HTML5   前端，根据 GPL 版本 3 获得许可。该项目源自 Cloud9 v2 项目。,1
https://lazycat.cloud/appstore/detail/chestnut.app.ferdium,https://dl.lazycat.cloud/appstore/metarepo/apps/chestnut.app.ferdium/icon.png,ferdium 应用聚合,"Ferdium 是一款桌面应用程序，通过将喜爱的应用程序组合到一个应用程序中，其中包括Discord,Gmail,WeChat等。",1
https://lazycat.cloud/appstore/detail/peterpig.lzcapp.calligra,https://dl.lazycat.cloud/appstore/metarepo/apps/peterpig.lzcapp.calligra/icon.png,calligra,一款开源办公套件,1
https://lazycat.cloud/appstore/detail/com.luck.lazycat.notebook,https://dl.lazycat.cloud/appstore/metarepo/apps/com.luck.lazycat.notebook/icon.png,i-notebook,一款支持自部署的个人知识写作应用，助你更高效地组织和管理笔记,1
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.rsspush,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.rsspush/icon.png,rsspush,"RSSPush 是一款 Web 应用，它可以监测RSS变动，并发送最新内容到微信、Webhook 和 Telegram, Discord, Slack, Amazon SNS, Gotify 等数十个消息通道。Admin Key为admin",1
https://lazycat.cloud/appstore/detail/chestnut.app.ngircd,https://dl.lazycat.cloud/appstore/metarepo/apps/chestnut.app.ngircd/icon.png,ngircd IRC 服务器,Ngircd 是一个免费、便携和轻量级的 Internet 中继聊天服务器，适用于小型或私有网络，根据 GNU 通用公共许可证   （GPL） 开发。它易于配置，可以处理动态 IP 地址，并支持 IPv6、受 SSL 保护的连接以及用于身份验证的   PAM。它是从头开始编写的，而不是基于原始的 IRCd。,1
https://lazycat.cloud/appstore/detail/peterpig.lzcapp.openshot,https://dl.lazycat.cloud/appstore/metarepo/apps/peterpig.lzcapp.openshot/icon.png,openshot,一款屡获殊荣的免费开源视频编辑器,1
https://lazycat.cloud/appstore/detail/white.lazycat.app.cpolar,https://dl.lazycat.cloud/appstore/metarepo/apps/white.lazycat.app.cpolar/icon.png,cpolar,cpolar内网穿透云服务,1
https://lazycat.cloud/appstore/detail/chestnut.app.mysqlworkbench,https://dl.lazycat.cloud/appstore/metarepo/apps/chestnut.app.mysqlworkbench/icon.png,Mysql Workbench数据库管理,MySQL Workbench 是 MySQL 官方提供的一个集成开发环境(IDE)和数据库管理工具，主要用于 MySQL 数据库的设计、开发和管理。,1
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.dumb-assets,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.dumb-assets/icon.png,DumbAssets,A Stupid Simple Asset Tracker,1
https://lazycat.cloud/appstore/detail/cloud.lazycat.app.super-productivity,https://dl.lazycat.cloud/appstore/metarepo/apps/cloud.lazycat.app.super-productivity/icon.png,Super Productivity,一款具有集成 Timeboxing 和时间追踪功能的高级待办事项应用,1
https://lazycat.cloud/appstore/detail/com.luck.lazycat.huntarr,https://dl.lazycat.cloud/appstore/metarepo/apps/com.luck.lazycat.huntarr/icon.png,huntarr,此应用程序会持续搜索您的媒体库，以查找缺失的内容和需要质量升级的项目,1
https://lazycat.cloud/appstore/detail/com.luck.lazycat.hound,https://dl.lazycat.cloud/appstore/metarepo/apps/com.luck.lazycat.hound/icon.png,hound,Hound 是一个速度极快的源代码搜索引擎,1
https://lazycat.cloud/appstore/detail/com.lazycat.online3dviewer,https://dl.lazycat.cloud/appstore/metarepo/apps/com.lazycat.online3dviewer/icon.png,Online-3D,"在线3D模型查看器，支持多种3D文件格式（3dm, 3ds, 3mf, amf, bim, brep, dae, fbx, gltf, ifc, stl, obj等）",1
https://lazycat.cloud/appstore/detail/com.lazycat.fabritor,https://dl.lazycat.cloud/appstore/metarepo/apps/com.lazycat.fabritor/icon.png,Fabritor,基于fabric.js的创意图像编辑器，支持文本、图片、形状、画笔等多种编辑功能,1
https://lazycat.cloud/appstore/detail/com.luck.lazycat.dim,https://dl.lazycat.cloud/appstore/metarepo/apps/com.luck.lazycat.dim/icon.png,dim,Dim 是一个自托管的媒体管理器,1
https://lazycat.cloud/appstore/detail/com.lazycat.ytoc,https://dl.lazycat.cloud/appstore/metarepo/apps/com.lazycat.ytoc/icon.png,Y-TOC,一个内容目录海报美化生成工具，支持多主题、本地缓存和批量输入,1
https://lazycat.cloud/appstore/detail/chestnut.app.ardour,https://dl.lazycat.cloud/appstore/metarepo/apps/chestnut.app.ardour/icon.png,Ardour,Ardour 是一个专业的开源数字音频工作站（DAW - Digital Audio Workstation）软件，主要用于音频录制、编辑和混音。,1
